B.I, iKon, Kim Han-bin, 1996-10-22, 2015-09-15
Onew, SHINee, Lee Jin-ki, 1989-12-14, 2008-05-25
Key, SHINee, Kim Ki-bum, 1991-09-23, 2008-05-25
Minho, SHINee, Choi Min-ho, 1991-12-09, 2008-05-25
Taemin, SHINee, Lee Tae-min, 1993-07-18, 2008-05-25
Jonghyun, SHINee, Kim Jong-hyun, 1990-04-08, 2008-05-25
Nayeon, TWICE, Im Na-yeon, 1995-09-22, 2015-10-20
Jeongyeon, TWICE, Yoo Jeong-yeon, 1996-11-01, 2015-10-20
Momo, TWICE, Hirai Momo, 1996-11-09, 2015-10-20
Sana, TWICE, Minatozaki Sana, 1996-12-29, 2015-10-20
Jihyo, TWICE, Park Ji-hyo, 1997-02-01, 2015-10-20
Mina, TWICE, Myoui Mina, 1997-03-24, 2015-10-20
Dahyun, TWICE, Kim Da-hyun, 1998-05-28, 2015-10-20
Chaeyoung, TWICE, Son Chae-young, 1999-04-23, 2015-10-20
Tzuyu, TWICE, Chou Tzu-yu, 1999-06-14, 2015-10-20
S.Coups, SEVENTEEN, Choi Seung-cheol, 1995-08-08, 2015-05-26
Jeonghan, SEVENTEEN, Yoon Jeong-han, 1995-10-04, 2015-05-26
Joshua, SEVENTEEN, Joshua Hong, 1995-12-30, 2015-05-26
Jun, SEVENTEEN, Wen Jun-hui, 1996-06-10, 2015-05-26
Hoshi, SEVENTEEN, Kwon Soon-young, 1996-06-15, 2015-05-26
Wonwoo, SEVENTEEN, Jeon Won-woo, 1996-07-17, 2015-05-26
Woozi, SEVENTEEN, Lee Ji-hoon, 1996-11-22, 2015-05-26
DK, SEVENTEEN, Lee Seok-min, 1997-02-18, 2015-05-26
Mingyu, SEVENTEEN, Kim Min-gyu, 1997-04-06, 2015-05-26
The8, SEVENTEEN, Xu Ming-hao, 1997-11-07, 2015-05-26
Seungkwan, SEVENTEEN, Boo Seung-kwan, 1998-01-16, 2015-05-26
Vernon, SEVENTEEN, Vernon Chwe, 1998-02-18, 2015-05-26
Dino, SEVENTEEN, Lee Chan, 1999-02-11, 2015-05-26
Yoon Ji-sung, Wanna One, Yoon Byeong-ok, 1990-03-08, 2017-08-07
Ha Sung-woon, Wanna One, Ha Sung-woon, 1994-03-22, 2017-08-07
Hwang Min-hyun, Wanna One, Hwang Min-hyun, 1995-08-09, 2017-08-07
Ong Seong-wu, Wanna One, Ong Seong-wu, 1995-08-25, 2017-08-07
Kim Jae-hwan, Wanna One, Kim Jae-hwan, 1996-05-27, 2017-08-07
Kang Daniel, Wanna One, Kang Eui-geon, 1996-12-10, 2017-08-07
Park Ji-hoon, Wanna One, Park Ji-hoon, 1999-05-29, 2017-08-07
Park Woo-jin, Wanna One, Park Woo-jin, 1999-11-02, 2017-08-07
Bae Jin-young, Wanna One, Bae Jin-young, 2000-05-10, 2017-08-07
Lee Dae-hwi, Wanna One, Lee Dae-hwi, 2001-01-29, 2017-08-07
Lai Kuan-lin, Wanna One, Lai Guan-lin, 2001-09-23, 2017-08-07
Kwon Eun-bi, IZ*ONE, Kwon Eun-bi, 1995-09-27, 2018-10-29
Miyawaki Sakura, IZ*ONE, Miyawaki Sakura, 1998-03-19, 2018-10-29
Kang Hye-won, IZ*ONE, Kang Hye-won, 1999-07-05, 2018-10-29
Choi Ye-na, IZ*ONE, Choi Ye-na, 1999-09-29, 2018-10-29
Lee Chae-yeon, IZ*ONE, Lee Chae-yeon, 2000-01-11, 2018-10-29
Kim Chae-won, IZ*ONE, Kim Chae-won, 2000-08-01, 2018-10-29
Kim Min-ju, IZ*ONE, Kim Min-ju, 2001-02-05, 2018-10-29
Yabuki Nako, IZ*ONE, Yabuki Nako, 2001-06-18, 2018-10-29
Honda Hitomi, IZ*ONE, Honda Hitomi, 2001-10-06, 2018-10-29
Jo Yu-ri, IZ*ONE, Jo Yu-ri, 2001-10-22, 2018-10-29
An Yu-jin, IZ*ONE, An Yu-jin, 2003-09-01, 2018-10-29
Jang Won-young, IZ*ONE, Jang Won-young, 2004-08-31, 2018-10-29
Xiumin, EXO, Kim Min-seok, 1990-03-26, 2012-04-08
Suho, EXO, Kim Jun-myeon, 1991-05-22, 2012-04-08
Lay, EXO, Zhang Yixing, 1991-10-07, 2012-04-08
Baekhyun, EXO, Byun Baek-hyun, 1992-05-06, 2012-04-08
Chen, EXO, Kim Jong-dae, 1992-09-21, 2012-04-08
Chanyeol, EXO, Park Chan-yeol, 1992-11-27, 2012-04-08
D.O., EXO, Do Kyung-soo, 1993-01-12, 2012-04-08
Kai, EXO, Kim Jong-in, 1994-01-14, 2012-04-08
Sehun, EXO, Oh Se-hun, 1994-04-12, 2012-04-08
RM, BTS, Kim Nam-joon, 1994-09-12, 2013-06-13
Jin, BTS, Kim Seok-jin, 1992-12-04, 2013-06-13
Suga, BTS, Min Yoon-gi, 1993-03-09, 2013-06-13
J-Hope, BTS, Jung Ho-seok, 1994-02-18, 2013-06-13
Jimin, BTS, Park Ji-min, 1995-10-13, 2013-06-13
V, BTS, Kim Tae-hyung, 1995-12-30, 2013-06-13
Jungkook, BTS, Jeon Jung-kook, 1997-09-01, 2013-06-13
Exy, WJSN, Chu So-jung, 1995-11-06, 2016-02-25
Bona, WJSN, Kim Ji-yeon, 1995-08-19, 2016-02-25
Cheng Xiao, WJSN, Cheng Xiao, 1998-07-15, 2016-02-25
Dayoung, WJSN, Im Da-young, 1999-05-14, 2016-02-25
Eunseo, WJSN, Son Joo-yeon, 1998-05-27, 2016-02-25
Mei Qi, WJSN, Meng Mei Qi, 1998-10-15, 2016-02-25
Xuan Yi, WJSN, Wu Xuan-yi, 1995-01-26, 2016-02-25
Yeoreum, WJSN, Lee Jin-sook, 1999-01-10, 2016-02-25
Dawon, WJSN, Nam Dawon, 1996-04-16, 2016-02-25
Soobin, WJSN, Park Soo-bin, 1996-09-14, 2016-02-25
Luda, WJSN, Lee Lu-da, 1997-03-06, 2016-02-25
Seola, WJSN, Kim Hyun-jung, 1994-12-24, 2016-02-25
Taeyeon, Girls Generation, Kim Tae-yeon, 1989-03-09, 2007-08-05
Sunny, Girls Generation, Lee Soon-kyu, 1989-05-15, 2007-08-05
Tiffany, Girls Generation, Stephanie Hwang, 1989-08-01, 2007-08-05
Hyoyeon, Girls Generation, Kim Hyo-yeon, 1989-09-22, 2007-08-05
Yuri, Girls Generation, Kwon Yu-ri, 1989-12-05, 2007-08-05
Sooyoung, Girls Generation, Choi Soo-young, 1990-02-10, 2007-08-05
Yoona, Girls Generation, Im Yoon-ah, 1990-05-30, 2007-08-05
Seohyun, Girls Generation, Seo Joo-hyun, 1991-06-28, 2007-08-05
Jessica, Girls Generation, Jessica Jung, 1989-04-18, 2007-08-05
Leeteuk, Super Junior, Park Jeong-su, 1983-07-01, 2005-11-06
Heechul, Super Junior, Kim Hee-chul, 1983-07-10, 2005-11-06
Yesung, Super Junior, Kim Jong-woon, 1984-08-24, 2005-11-06
Kangin, Super Junior, Kim Young-woon, 1985-01-17, 2005-11-06
Shindong, Super Junior, Shin Dong-hee, 1985-09-28, 2005-11-06
Sungmin, Super Junior, Lee Sung-min, 1986-01-01, 2005-11-06
Eunhyuk, Super Junior, Lee Hyuk-jae, 1986-04-04, 2005-11-06
Donghae, Super Junior, Lee Dong-hae, 1986-10-15, 2005-11-06
Siwon, Super Junior, Choi Si-won, 1986-04-07, 2005-11-06
Ryeowook, Super Junior, Kim Ryeo-wook, 1987-06-21, 2005-11-06
Kibum, Super Junior, Kim Ki-bum, 1987-08-21, 2005-11-06
Kyuhyun, Super Junior, Cho Kyu-hyun, 1988-02-03, 2006-05-23
Heejin, LOONA, Jeon Hee-jin, 2000-10-19, 2018-08-20
Hyunjin, LOONA, Kim Hyun-jin, 2000-11-15, 2018-08-20
Haseul, LOONA, Jo Ha-seul, 1997-08-18, 2018-08-20
Yeojin, LOONA, Im Yeo-jin, 2002-11-11, 2018-11-16
Vivi, LOONA, Wong Kahei, 1996-12-09, 2018-12-13
Kim Lip, LOONA, Kim Jung-eun, 1999-02-10, 2017-05-23
Jinsoul, LOONA, Jung Jin-soul, 1997-06-13, 2017-06-13
Choerry, LOONA, Choi Yerim, 2001-06-04, 2017-07-27
Yves, LOONA, Ha Soo-young, 1997-05-24, 2017-11-28
Chuu, LOONA, Kim Ji-woo, 1999-10-20, 2017-12-14
Go Won, LOONA, Park Chae-won, 2000-11-19, 2018-01-15
Olivia Hye, LOONA, Son Hye-joo, 2001-11-13, 2018-03-17
Sangyeon, The Boyz, Lee Sang-yeon, 1996-11-04, 2017-12-06
Jacob, The Boyz, Jacob Bae, 1997-05-07, 2017-12-06
Younghoon, The Boyz, Kim Young-hoon, 1997-08-08, 2017-12-06
Hyunjae, The Boyz, Lee Jae-hyun, 1997-09-13, 2017-12-06
Juyeon, The Boyz, Lee Ju-yeon, 1998-01-15, 2017-12-06
Kevin, The Boyz, Kevin Moon, 1998-02-23, 2017-12-06
New, The Boyz, Choi Chan-hee, 1998-04-26, 2017-12-06
Q, The Boyz, Heo Hyun-joon, 1998-08-13, 2017-12-06
Juhaknyeon, The Boyz, Kim Ju-hak, 1999-03-09, 2017-12-06
Sunwoo, The Boyz, Kim Sun-woo, 2000-04-12, 2017-12-06
Eric, The Boyz, Eric Sohn, 2000-12-22, 2017-12-06
Haknyeon, The Boyz, Choi Hak-nyeon, 1999-03-09, 2017-12-06
Hyunsuk, TREASURE, Choi Hyun-suk, 1999-04-21, 2020-08-07
Jihoon, TREASURE, Park Ji-hoon, 2000-03-14, 2020-08-07
Yoshi, TREASURE, Kashiwagi Yosuke, 2000-09-15, 2020-08-07
Junkyu, TREASURE, Yoon Jeong-guk, 2000-09-09, 2020-08-07
Mashiho, TREASURE, Takata Mashiho, 2001-03-25, 2020-08-07
Jaehyuk, TREASURE, Shim Jae-hyuk, 2001-07-23, 2020-08-07
Asahi, TREASURE, Hamada Asahi, 2001-08-20, 2020-08-07
Yedam, TREASURE, Bang Ye-dam, 2002-05-07, 2020-08-07
Doyoung, TREASURE, Kim Do-young, 2003-12-04, 2020-08-07
Haruto, TREASURE, Watanabe Haruto, 2004-04-05, 2020-08-07
Jeongwoo, TREASURE, Park Jeong-woo, 2004-09-28, 2020-08-07
Shownu, MONSTA X, Son Hyun-woo, 1992-06-18, 2015-05-14
Wonho, MONSTA X, Lee Ho-seok, 1993-03-01, 2015-05-14
Minhyuk, MONSTA X, Lee Min-hyuk, 1993-11-03, 2015-05-14
Kihyun, MONSTA X, Yoo Ki-hyun, 1993-11-22, 2015-05-14
Hyungwon, MONSTA X, Chae Hyung-won, 1994-01-15, 2015-05-14
Joohoney, MONSTA X, Lee Ho-joon, 1994-10-06, 2015-05-14
I.M, MONSTA X, Im Chang-kyun, 1996-01-26, 2015-05-14
Taeil, NCT 127, Moon Tae-il, 1994-06-14, 2016-07-07
Johnny, NCT 127, Seo Young-ho, 1995-02-09, 2016-07-07
Taeyong, NCT 127, Lee Tae-yong, 1995-07-01, 2016-07-07
Yuta, NCT 127, Nakamoto Yuta, 1995-10-26, 2016-07-07
Doyoung, NCT 127, Kim Dong-young, 1996-02-01, 2016-07-07
Jaehyun, NCT 127, Jung Yoon-oh, 1997-02-14, 2016-07-07
Jungwoo, NCT 127, Kim Jung-woo, 1998-02-19, 2018-09-12
Mark, NCT 127, Mark Lee, 1999-08-02, 2016-07-07
Haechan, NCT 127, Lee Dong-hyuck, 2000-06-06, 2016-07-07
Jun. K, 2PM, Kim Min-jun, 1988-01-15, 2008-09-04
Nichkhun, 2PM, Nichkhun Buck Horvejkul, 1988-06-24, 2008-09-04
Taecyeon, 2PM, Ok Taec-yeon, 1988-12-27, 2008-09-04
Wooyoung, 2PM, Jang Woo-young, 1989-04-30, 2008-09-04
Junho, 2PM, Lee Jun-ho, 1990-01-25, 2008-09-04
Chansung, 2PM, Hwang Chan-sung, 1990-02-11, 2008-09-04
Soyeon, (G)I-DLE, Jeon So-yeon, 1998-08-26, 2018-05-02
Minnie, (G)I-DLE, Minnie Nicha Yontararak, 1997-10-23, 2018-05-02
Soojin, (G)I-DLE, Seo Soo-jin, 1998-03-09, 2018-05-02
Miyeon, (G)I-DLE, Cho Mi-yeon, 1997-01-31, 2018-05-02
Yuqi, (G)I-DLE, Song Yuqi, 1999-09-23, 2018-05-02
Shuhua, (G)I-DLE, Yeh Shu-hua, 2000-01-06, 2018-05-02
Solar, Mamamoo, Kim Yong-sun, 1991-02-21, 2014-06-19
Moonbyul, Mamamoo, Moon Byul-yi, 1992-12-22, 2014-06-19
Wheein, Mamamoo, Jung Whee-in, 1995-04-17, 2014-06-19
Hwasa, Mamamoo, Ahn Hye-jin, 1995-07-23, 2014-06-19
Leedo, ONEUS, Kim Gun-hyoung, 1994-07-26, 2019-01-09
Keonhee, ONEUS, Lee Keon-hee, 1998-06-27, 2019-01-09
Hwanwoong, ONEUS, Yeo Hwan-woong, 1998-08-26, 2019-01-09
Xion, ONEUS, Son Dong-ju, 2000-01-10, 2019-01-09
Seoho, ONEUS, Lee Gun-min, 1996-08-07, 2019-01-09
Ravn, ONEUS, Kim Young-jo, 1995-09-02, 2019-01-09
Chorong, Apink, Park Cho-rong, 1991-03-03, 2011-04-21
Bomi, Apink, Yoon Bo-mi, 1993-08-13, 2011-04-21
Eunji, Apink, Jung Eun-ji, 1993-08-18, 2011-04-21
Naeun, Apink, Son Na-eun, 1994-02-10, 2011-04-21
Namjoo, Apink, Kim Nam-joo, 1995-04-15, 2011-04-21
Hayoung, Apink, Oh Ha-young, 1996-07-19, 2011-04-21
Sowon, GFriend, Kim So-jung, 1995-12-07, 2015-01-16
Yerin, GFriend, Jung Ye-rin, 1996-08-19, 2015-01-16
Eunha, GFriend, Jung Eun-bi, 1997-05-30, 2015-01-16
Yuju, GFriend, Choi Yu-na, 1997-10-04, 2015-01-16
SinB, GFriend, Hwang Eun-bi, 1998-06-03, 2015-01-16
Umji, GFriend, Kim Ye-won, 1998-08-19, 2015-01-16
Bang Chan,Stray Kids,Chris Bang,1997-10-03,2018-03-25
Lee Know,Stray Kids,Lee Min-ho,1998-10-25,2018-03-25
Changbin,Stray Kids,Seo Chang-bin,1999-08-11,2018-03-25
Hyunjin,Stray Kids,Hwang Hyun-jin,2000-03-20,2018-03-25
Han,Stray Kids,Han Ji-sung,2000-09-14,2018-03-25
Felix,Stray Kids,Lee Felix,2000-09-15,2018-03-25
Seungmin,Stray Kids,Kim Seung-min,2000-09-22,2018-03-25
I.N,Stray Kids,Yang Jeong-in,2001-02-08,2018-03-25
Eunkwang,BTOB,Seo Eun-kwang,1990-11-22,2012-03-21
Minhyuk,BTOB,Lee Min-hyuk,1990-11-29,2012-03-21
Changsub,BTOB,Lee Chang-sub,1991-02-26,2012-03-21
Hyunsik,BTOB,Lim Hyun-sik,1992-03-07,2012-03-21
Peniel,BTOB,Peniel Shin,1993-03-10,2012-03-21
Ilhoon,BTOB,Jung Il-hoon,1994-10-04,2012-03-21
Sungjae,BTOB,Yook Sung-jae,1995-05-02,2012-03-21
Hongjoong,ATEEZ,Kim Hong-joong,1998-11-07,2018-10-24
Seonghwa,ATEEZ,Park Seong-hwa,1998-04-03,2018-10-24
Yunho,ATEEZ,Jung Yun-ho,1999-03-23,2018-10-24
Yeosang,ATEEZ,Kang Yeosang,1999-06-15,2018-10-24
San,ATEEZ,Choi San,1999-07-10,2018-10-24
Mingi,ATEEZ,Kim Mingi,1999-08-09,2018-10-24
Wooyoung,ATEEZ,Jung Woo-young,1999-11-26,2018-10-24
Jongho,ATEEZ,Choi Jong-ho,2000-10-12,2018-10-24
JinJin, ASTRO, Park Jin-woo, 1996-03-15, 2016-02-23
MJ, ASTRO, Kim Myung-jun, 1994-03-05, 2016-02-23
Cha Eun-woo, ASTRO, Lee Dong-min, 1997-03-30, 2016-02-23
Moonbin, ASTRO, Moon Bin, 1998-01-26, 2016-02-23
Rocky, ASTRO, Park Min-hyuk, 1999-02-25, 2016-02-23
Sanha, ASTRO, Yoon San-ha, 2000-03-21, 2016-02-23
Youngmin, AB6IX, Lim Young-min, 1995-12-25, 2019-05-22
Woong, AB6IX, Jeon Woong, 1997-10-15, 2019-05-22
Donghyun, AB6IX, Lee Dong-hyung, 1998-09-17, 2019-05-22
Daehwi, AB6IX, Lee Dae-hwi, 2001-01-29, 2019-05-22
Jimin, AOA, Shin Ji-min, 1991-01-08, 2012-07-30
Yuna, AOA, Seo Yu-na, 1992-12-30, 2012-07-30
Hyejeong, AOA, Shin Hye-jeong, 1993-08-10, 2012-07-30
Mina, AOA, Kwon Min-ah, 1993-09-21, 2012-07-30
Seolhyun, AOA, Kim Seol-hyun, 1995-01-03, 2012-07-30
Chanmi, AOA, Kim Chan-mi, 1996-06-19, 2012-07-30
JB, GOT7, Im Jae-bum, 1994-01-06, 2014-01-16
Mark, GOT7, Mark Yi-en Tuan, 1993-09-04, 2014-01-16
Jackson, GOT7, Jackson Wang, 1994-03-28, 2014-01-16
Jinyoung, GOT7, Park Jin-young, 1994-09-22, 2014-01-16
Youngjae, GOT7, Choi Young-jae, 1996-09-17, 2014-01-16
BamBam, GOT7, Kunpimook Bhuwakul, 1997-05-02, 2014-01-16
Yugyeom, GOT7, Kim Yu-gyeom, 1997-11-17, 2014-01-16