BTS,Big Hit Music,2013-06-13,7
BLACKPINK,YG Entertainment,2016-08-08,4
TWICE,JYP Entertainment,2015-10-20,9
EXO,SM Entertainment,2012-04-08,9
Red Velvet,SM Entertainment,2014-08-01,5
GOT7,JYP Entertainment,2014-01-16,7
NCT,SM Entertainment,2016-04-09,23
SEVENTEEN,Pledis Entertainment,2015-05-26,13
MAMAMOO,RBW,2014-06-19,4
MONSTA X,Starship Entertainment,2015-05-14,7
GFRIEND,Source Music,2015-01-15,6
ITZY,JYP Entertainment,2019-02-12,5
TXT,Big Hit Music,2019-03-04,5
Stray Kids,JYP Entertainment,2018-03-25,8
OH MY GIRL,WM Entertainment,2015-04-20,8
ASTRO,Fantagio Music,2016-02-23,6
Wanna One,YMC Entertainment,2017-08-07,11
MOMOLAND,MLD Entertainment,2016-11-10,7
IZ*ONE,Off The Record Entertainment,2018-10-29,12
EXID,Banana Culture Entertainment,2012-02-16,5